TIME [s]	Accel. [cm/s^2
0.00	0.000
0.02	0.374
0.04	-1.847
0.06	-2.224
0.08	-0.224
0.10	0.566
0.12	-0.131
0.14	-0.488
0.16	0.919
0.18	0.819
0.20	1.167
0.22	1.400
0.24	1.193
0.26	1.588
0.28	0.149
0.30	0.981
0.32	0.758
0.34	-1.078
0.36	-0.012
0.38	0.377
0.40	-0.846
0.42	-1.519
0.44	-1.085
0.46	-1.196
0.48	-0.201
0.50	-0.005
0.52	-0.683
0.54	-0.221
0.56	0.647
0.58	1.356
0.60	1.145
0.62	-0.238
0.64	-1.475
0.66	-2.834
0.68	-2.641
0.70	-1.957
0.72	-0.940
0.74	1.034
0.76	1.307
0.78	-0.192
0.80	-2.388
0.82	-0.801
0.84	0.893
0.86	0.845
0.88	-1.430
0.90	-1.212
0.92	0.795
0.94	1.321
0.96	0.634
0.98	-0.265
1.00	0.292
1.02	0.826
1.04	0.784
1.06	-0.874
1.08	-2.482
1.10	-2.091
1.12	-0.024
1.14	0.433
1.16	0.627
1.18	0.544
1.20	0.618
1.22	0.508
1.24	0.714
1.26	-1.110
1.28	-2.022
1.30	0.569
1.32	1.231
1.34	-1.162
1.36	-2.286
1.38	-1.953
1.40	-2.256
1.42	-1.200
1.44	0.863
1.46	-0.487
1.48	-2.061
1.50	-1.795
1.52	-1.433
1.54	0.195
1.56	1.964
1.58	5.122
1.60	5.125
1.62	2.732
1.64	-0.573
1.66	-4.080
1.68	-3.953
1.70	-0.932
1.72	1.112
1.74	1.007
1.76	0.270
1.78	0.513
1.80	0.479
1.82	1.300
1.84	3.523
1.86	2.161
1.88	-0.287
1.90	-1.571
1.92	1.461
1.94	3.820
1.96	2.869
1.98	-2.357
2.00	-5.339
2.02	-4.404
2.04	-3.976
2.06	-2.543
2.08	-1.632
2.10	-1.929
2.12	-0.299
2.14	2.949
2.16	3.972
2.18	2.618
2.20	-1.435
2.22	0.557
2.24	3.861
2.26	2.791
2.28	-1.127
2.30	-3.914
2.32	-4.040
2.34	-0.397
2.36	1.434
2.38	-0.489
2.40	-1.176
2.42	1.929
2.44	4.818
2.46	1.266
2.48	-1.085
2.50	2.236
2.52	4.530
2.54	4.678
2.56	1.828
2.58	-0.801
2.60	2.857
2.62	5.018
2.64	0.249
2.66	-7.429
2.68	-7.545
2.70	-0.220
2.72	6.762
2.74	10.087
2.76	7.164
2.78	0.156
2.80	-5.363
2.82	-6.403
2.84	-7.029
2.86	-9.794
2.88	-6.298
2.90	1.829
2.92	4.598
2.94	1.587
2.96	1.246
2.98	2.132
3.00	-1.283
3.02	-6.369
3.04	-4.041
3.06	1.964
3.08	5.624
3.10	5.272
3.12	4.253
3.14	4.482
3.16	6.072
3.18	6.168
3.20	1.388
3.22	-5.541
3.24	-8.836
3.26	-2.304
3.28	5.751
3.30	3.637
3.32	-2.677
3.34	-6.043
3.36	-3.177
3.38	-1.124
3.40	-4.684
3.42	-6.382
3.44	-2.987
3.46	0.920
3.48	5.842
3.50	6.941
3.52	4.874
3.54	3.457
3.56	-0.023
3.58	-0.887
3.60	-0.398
3.62	0.505
3.64	-2.158
3.66	-2.866
3.68	0.022
3.70	3.104
3.72	0.974
3.74	-1.286
3.76	-0.371
3.78	1.477
3.80	1.763
3.82	1.490
3.84	3.428
3.86	0.015
3.88	-0.074
3.90	1.388
3.92	-1.518
3.94	-2.703
3.96	0.316
3.98	0.436
4.00	-0.946
4.02	-0.800
4.04	0.846
4.06	3.981
4.08	2.002
4.10	2.921
4.12	4.680
4.14	2.331
4.16	-2.330
4.18	-10.431
4.20	-15.382
4.22	-9.330
4.24	-2.054
4.26	2.818
4.28	4.669
4.30	4.250
4.32	3.011
4.34	1.228
4.36	-1.242
4.38	-4.059
4.40	-2.645
4.42	-0.734
4.44	1.090
4.46	3.593
4.48	6.408
4.50	3.612
4.52	0.628
4.54	-1.407
4.56	-4.308
4.58	-2.078
4.60	0.012
4.62	0.674
4.64	-0.621
4.66	-2.240
4.68	-2.035
4.70	-2.184
4.72	-1.861
4.74	0.055
4.76	-0.967
4.78	0.052
4.80	1.202
4.82	-2.334
4.84	-0.730
4.86	0.206
4.88	-6.035
4.90	-10.217
4.92	-5.807
4.94	3.388
4.96	6.109
4.98	5.620
5.00	6.264
5.02	5.205
5.04	3.397
5.06	3.230
5.08	2.118
5.10	-2.249
5.12	-4.191
5.14	-1.303
5.16	2.139
5.18	3.781
5.20	0.231
5.22	-3.489
5.24	-4.170
